KNG201;1;1;2;平塚ST1;その他;-1;1;139.9183;34.5956;230;286;0;0;0.47
KNG202;1;1;2;平塚ST2;その他;-1;1;139.8393;34.7396;228;282;0;0;0.29
KNG203;1;1;2;平塚ST3;その他;-1;1;139.6435;34.7983;224;281;0;0;0.16
KNG204;1;1;2;平塚ST4;その他;-1;1;139.5711;34.8931;223;278;0;0;-0.01
KNG205;1;1;2;平塚ST5;その他;-1;1;139.4213;34.9413;220;277;0;0;0.33
KNG206;1;1;2;平塚ST6;その他;-1;1;139.3778;35.0966;219;273;0;0;0.51
MIE005;1;1;2;上野;三重県;461;46;136.1151;34.7677;152;282;0;0;-0.08
MIE004;1;1;2;亀山;三重県;460;46;136.4493;34.8569;159;279;1;-1;0.07
MIE010;1;1;2;伊勢;三重県;462;46;136.7334;34.4908;165;288;0;0;-0.13
MIE013;1;1;2;南島;三重県;462;46;136.4996;34.2777;160;294;0;0;-0.17
MIE008;1;1;2;名張;三重県;461;46;136.1073;34.6285;152;285;1;1;0.21
MIEH01;1;1;1;四日市;三重県;460;46;136.4563;34.9849;159;276;0;1;-0.34
MIE003;1;1;2;四日市;三重県;460;46;136.6357;34.9704;163;277;0;0;-0.08
MIEH02;1;1;1;大山田;三重県;461;46;136.2835;34.7662;156;282;0;0;-0.59
MIEH03;1;1;1;嬉野;三重県;461;46;136.3692;34.547;158;287;0;0;-0.19
MIEH06;1;1;1;宮川;三重県;462;46;136.3293;34.358;157;292;0;0;-0.61
MIE017;1;0;2;宮川;三重県;462;46;136.3348;34.3624;157;291;0;0;0.01
MIEH05;1;1;1;尾鷲;三重県;462;46;136.1689;34.0636;154;299;0;0;-0.01
MIE014;1;0;2;尾鷲;三重県;462;46;136.1689;34.0637;153;299;0;0;-0.10
MIEH04;1;1;1;度会;三重県;462;46;136.5866;34.3532;162;292;0;0;-0.71
MIEH07;1;1;1;志摩;三重県;462;46;136.8216;34.2544;167;294;0;0;-0.70
MIE012;1;0;2;志摩;三重県;462;46;136.8232;34.2544;167;294;0;0;-0.73
MIEH08;1;1;1;松阪;三重県;461;46;136.5033;34.5424;160;287;1;1;-0.64
MIE009;1;1;2;松阪;三重県;461;46;136.5296;34.5752;161;286;1;-1;-0.11
MIE018;1;0;2;椿世;三重県;460;46;136.4546;34.8702;159;279;0;0;-0.19
MIE006;1;1;2;津;三重県;461;46;136.5039;34.7178;160;283;0;0;0.23
MIE015;1;1;2;熊野;三重県;462;46;136.0822;33.8783;152;303;0;0;-0.27
MIE007;1;1;2;白山;三重県;461;46;136.3365;34.6435;157;285;0;0;0.25
MIE016;1;1;2;紀和;三重県;462;46;135.9188;33.8764;148;303;0;0;0.22
MIEH09;1;1;1;紀宝;三重県;462;46;135.9969;33.7644;150;306;0;0;-0.22
MIEH10;1;1;1;芸濃;三重県;461;46;136.4245;34.8224;159;280;0;1;-0.21
MIE002;1;1;2;菰野;三重県;460;46;136.5073;35.0279;160;275;1;0;-0.02
MIE001;1;1;2;藤原;三重県;460;46;136.4943;35.1718;160;272;0;0;-0.30
MIE011;1;1;2;飯高;三重県;461;46;136.3329;34.4283;157;290;0;0;-0.18
KYT001;1;0;2;丹後;京都府;510;51;135.1022;35.7406;132;258;0;0;-0.71
