region/code;city/code;city/jp;city/en;noCode;code;name;eng;latitude;longitude;arv
462;2421500;志摩市;Shima-shi;4621731;2421536;志摩市大王町波切;Shima-shi Daiō-chō Nakiri;34.2814;136.8847;1.175
462;2421500;志摩市;Shima-shi;4621733;2421539;志摩市磯部町迫間;Shima-shi Sobe-chō Hasama;34.3756;136.7967;0.936
462;2421500;志摩市;Shima-shi;4621734;2421538;志摩市阿児町鵜方;Shima-shi Ago-chō Ugata;34.3283;136.8297;1.162
462;2421500;志摩市;Shima-shi;4621735;2421540;志摩市浜島町浜島;Shima-shi Hamajima-chō Hamajima;34.2961;136.7564;1.280
462;2444300;大台町;Ōdai-chō;4621830;2444333;大台町佐原;Ōdai-chō Sawara;34.3933;136.4075;0.861
462;2444300;大台町;Ōdai-chō;4621831;2444334;大台町江馬;Ōdai-chō Ema;34.3625;136.3358;0.844
462;2446100;玉城町;Tamaki-chō;4621930;2446131;玉城町田丸;Tamaki-chō Tamaru;34.4897;136.6308;1.380
462;2447000;度会町;Watarai-chō;4622030;2447032;度会町棚橋;Watarai-chō Tanahashi;34.4386;136.6222;0.908
500;2520200;彦根市;Hikone-shi;5000001;2520201;彦根市城町;Hikone-shi Shiro-machi;35.2758;136.2436;1.940
500;2520200;彦根市;Hikone-shi;5000020;2520220;彦根市西今町;Hikone-shi Nishiima-chō;35.2492;136.2419;1.961
500;2520200;彦根市;Hikone-shi;5000030;2520230;彦根市元町;Hikone-shi Moto-machi;35.2744;136.2597;1.940
500;2520300;長浜市;Nagahama-shi;5000120;2520320;長浜市公園町;Nagahama-shi Kōen-chō;35.3769;136.2639;1.185
500;2520300;長浜市;Nagahama-shi;5000131;2520331;長浜市内保町;Nagahama-shi Uchibo-chō;35.4286;136.2981;1.138
500;2520300;長浜市;Nagahama-shi;5000132;2520332;長浜市落合町;Nagahama-shi Ochiai-chō;35.4114;136.2342;1.968
500;2520300;長浜市;Nagahama-shi;5000134;2520334;長浜市湖北町速水;Nagahama-shi Kohoku-chō Hayami;35.4464;136.2431;1.819
500;2520300;長浜市;Nagahama-shi;5000135;2520335;長浜市高月町渡岸寺;Nagahama-shi Takatsuki-chō Dōganji;35.4747;136.2347;1.957
500;2520300;長浜市;Nagahama-shi;5000136;2520336;長浜市木之本町木之本;Nagahama-shi Kinomoto-chō Kinomoto;35.5019;136.2222;1.924
500;2520300;長浜市;Nagahama-shi;5000137;2520337;長浜市余呉町中之郷;Nagahama-shi Yogo-chō Nakanogō;35.5428;136.2044;1.909
500;2520300;長浜市;Nagahama-shi;5000139;2520339;長浜市西浅井町大浦;Nagahama-shi Nishi-azai-chō Ōura;35.4983;136.1236;1.749
500;2520300;長浜市;Nagahama-shi;5000140;2520340;長浜市八幡東町;Nagahama-shi Yawata-higashi-chō;35.3808;136.2778;1.162
500;2520300;長浜市;Nagahama-shi;5000141;2520341;長浜市宮部町;Nagahama-shi Miyabe-chō;35.4217;136.2664;1.164
500;2544100;豊郷町;Toyosato-chō;5000830;2544130;豊郷町石畑;Toyosato-chō Ishibatake;35.2003;136.2306;1.150
500;2544200;甲良町;Kōra-chō;5000930;2544230;甲良町在士;Kōra-chō Zaiji;35.2042;136.2611;1.136
500;2544300;多賀町;Taga-chō;5001030;2544330;多賀町多賀;Taga-chō Taga;35.2219;136.2919;1.104
500;2521200;高島市;Takashima-shi;5002920;2521220;高島市今津町日置前;Takashima-shi Imaji-chō Hiokimae;35.4214;136.0242;1.129
500;2521200;高島市;Takashima-shi;5002921;2521221;高島市朽木柏;Takashima-shi Kutsuki Kase;35.3475;135.9183;0.999
500;2521200;高島市;Takashima-shi;5002930;2521230;高島市マキノ町;Takashima-shi Makino-chō;35.4639;136.0394;1.749
500;2521200;高島市;Takashima-shi;5002932;2521232;高島市朽木市場;Takashima-shi Kutsuki Ichiba;35.3542;135.9175;0.991
500;2521200;高島市;Takashima-shi;5002935;2521235;高島市新旭町;Takashima-shi Shinasahi-chō;35.3525;136.0356;1.156
500;2521200;高島市;Takashima-shi;5002936;2521236;高島市勝野;Takashima-shi Katsuno;35.3008;136.0125;1.159
500;2521200;高島市;Takashima-shi;5002937;2521237;高島市安曇川町;Takashima-shi Adogawa-chō;35.3328;136.0189;1.164
500;2521200;高島市;Takashima-shi;5002938;2521238;高島市今津町弘川;Takashima-shi Imaji-chō Hirokawa;35.4067;136.0303;1.878
500;2521400;米原市;Maibara-shi;5003031;2521431;米原市春照;Maibara-shi Suijō;35.3858;136.3783;1.076
500;2521400;米原市;Maibara-shi;5003033;2521433;米原市顔戸;Maibara-shi Gōdo;35.3372;136.3044;1.935
500;2521400;米原市;Maibara-shi;5003034;2521434;米原市長岡;Maibara-shi Nagaoka;35.3614;136.37;1.022
500;2521400;米原市;Maibara-shi;5003035;2521435;米原市米原;Maibara-shi Maibara;35.3153;136.2917;1.749
500;2542500;愛荘町;Aishō-chō;5003130;2542530;愛荘町安孫子;Aishō-chō Abiko;35.1744;136.2444;1.139
500;2542500;愛荘町;Aishō-chō;5003131;2542531;愛荘町愛知川;Aishō-chō Echigawa;35.1689;136.2122;1.149
501;2520100;大津市;Ōtsu-shi;5010000;2520100;大津市御陵町;Ōtsu-shi Goryō-chō;35.0172;135.8544;1.749
501;2520100;大津市;Ōtsu-shi;5010003;2520103;大津市南小松;Ōtsu-shi Minami-komatsu;35.2358;135.9556;1.487
501;2520100;大津市;Ōtsu-shi;5010020;2520120;大津市国分;Ōtsu-shi Kokubu;34.9717;135.8964;0.988
501;2520100;大津市;Ōtsu-shi;5010021;2520121;大津市木戸消防分団;Ōtsu-shi Kido Fire Department;35.2;135.9208;1.110
501;2520100;大津市;Ōtsu-shi;5010031;2520131;大津市南郷;Ōtsu-shi Nangō;34.9419;135.9083;1.939
501;2520100;大津市;Ōtsu-shi;5010032;2520132;大津市真野;Ōtsu-shi Mano;35.1278;135.9175;1.749
501;2520400;近江八幡市;Ōmi-hachiman-shi;5010101;2520401;近江八幡市桜宮町;Ōmi-hachiman-shi Sakuramiya-chō;35.1272;136.0978;1.954
501;2520400;近江八幡市;Ōmi-hachiman-shi;5010120;2520420;近江八幡市出町;Ōmi-hachiman-shi De-machi;35.1339;136.0956;1.491
501;2520400;近江八幡市;Ōmi-hachiman-shi;5010131;2520431;近江八幡市安土町下豊浦;Ōmi-hachiman-shi Ajichi-chō Shimo-toira;35.1456;136.1325;1.901
501;2520600;草津市;Kusatsu-shi;5010331;2520631;草津市草津;Kusatsu-shi Kusatsu;35.0131;135.9594;1.163
501;2520700;守山市;Moriyama-shi;5010431;2520731;守山市石田町;Moriyama-shi Ishida-chō;35.0686;135.98;2.036
501;2520800;栗東市;Rittō-shi;5010530;2520830;栗東市安養寺;Rittō-shi Anyōji;35.0217;135.9981;1.147
501;2538300;滋賀日野町;Hino-chō;5011731;2538331;滋賀日野町河原;Hino-chō Kawara;35.0175;136.2456;0.852
501;2538400;竜王町;Ryūō-chō;5011830;2538430;竜王町小口;Ryūō-chō Oguchi;35.0603;136.1239;1.929
501;2521000;野洲市;Yasu-shi;5012130;2521030;野洲市西河原;Yasu-shi Nishi-gawara;35.1036;136.0122;1.940
501;2521000;野洲市;Yasu-shi;5012132;2521032;野洲市小篠原;Yasu-shi Koshinohara;35.0675;136.0264;1.935
501;2521100;湖南市;Konan-shi;5012220;2521120;湖南市中央森北公園;Konan-shi Chūōmorikita Park;35.005;136.0853;1.125
501;2521100;湖南市;Konan-shi;5012230;2521130;湖南市石部中央西庁舎;Konan-shi Ishibe Chūō-nishi Chōsha;35.0103;136.0589;1.141
501;2521100;湖南市;Konan-shi;5012231;2521131;湖南市中央東庁舎;Konan-shi Chūō-higashi Chōsha;35.0039;136.0842;1.125
501;2520900;甲賀市;Kōka-shi;5012301;2520901;甲賀市水口町;Kōka-shi Minakuchi-chō;34.9656;136.1658;1.103
501;2520900;甲賀市;Kōka-shi;5012320;2520920;甲賀市甲賀町大久保;Kōka-shi Kōka-chō Ōkubo;34.9042;136.2306;1.028
501;2520900;甲賀市;Kōka-shi;5012330;2520930;甲賀市土山町;Kōka-shi Tsuchiyama-chō;34.9375;136.2831;0.823
501;2520900;甲賀市;Kōka-shi;5012332;2520932;甲賀市甲南町;Kōka-shi Kōnan-chō;34.9281;136.1683;0.997
501;2520900;甲賀市;Kōka-shi;5012333;2520933;甲賀市信楽町;Kōka-shi Shigaraki-chō;34.8781;136.0583;0.922
501;2520900;甲賀市;Kōka-shi;5012334;2520934;甲賀市甲賀町相模;Kōka-shi Kōka-chō Sagami;34.9028;136.2158;0.925
501;2521300;東近江市;Higashi-ōmi-shi;5012400;2521300;東近江市君ヶ畑町;Higashi-ōmi-shi Kimigahata-chō;35.1383;136.3875;0.644
501;2521300;東近江市;Higashi-ōmi-shi;5012420;2521320;東近江市上二俣町;Higashi-ōmi-shi Kami-futamata-chō;35.07;136.2944;0.841
501;2521300;東近江市;Higashi-ōmi-shi;5012430;2521330;東近江市八日市緑町;Higashi-ōmi-shi Yōkaichimidori-machi;35.1125;136.2078;1.128
501;2521300;東近江市;Higashi-ōmi-shi;5012434;2521334;東近江市池庄町;Higashi-ōmi-shi Ikeshō-chō;35.1292;136.2461;1.024
501;2521300;東近江市;Higashi-ōmi-shi;5012435;2521335;東近江市市子川原町;Higashi-ōmi-shi Ichikokawara-chō;35.0592;136.1819;1.139
501;2521300;東近江市;Higashi-ōmi-shi;5012437;2521337;東近江市山上町;Higashi-ōmi-shi Yamakami-chō;35.0772;136.3;1.076
501;2521300;東近江市;Higashi-ōmi-shi;5012438;2521338;東近江市妹町;Higashi-ōmi-shi Imoto-chō;35.1089;136.2614;1.002
501;2521300;東近江市;Higashi-ōmi-shi;5012440;2521340;東近江市五個荘小幡町;Higashi-ōmi-shi Gokashō'obata-chō;35.1533;136.1925;1.148
501;2521300;東近江市;Higashi-ōmi-shi;5012441;2521341;東近江市躰光寺町;Higashi-ōmi-shi Taikōji-chō;35.1847;136.1628;1.974
